;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
8248;femenino;industria;fabrica de;robledo;2.0;7.0;2017-07-11;4500000.0;microempresarial
8249;masculino;comercio;variedades;popular;2.0;1.0;2018-03-06;7000000.0;microempresarial
8250;femenino;industria;fabrica de;moravia;1.0;4.0;2018-03-15;4000000.0;microempresarial
8251;femenino;industria;marroquineria;los mangos;1.0;8.0;2019-02-12;8281000.0;microempresarial
8252;femenino;comercio;tienda;popular;1.0;1.0;2018-05-25;2000000.0;microempresarial
8253;femenino;comercio;fabrica de productos;miravalle;3.0;16.0;2018-06-07;6000000.0;microempresarial
8254;femenino;servicio;fabrica de;loreto;3.0;9.0;2017-02-07;5500000.0;microempresarial
8255;femenino;servicio;fabrica de;san diego;2.0;10.0;2016-01-20;6000000.0;microempresarial
8256;masculino;industria;fabrica de;moravia;2.0;4.0;2017-10-31;7000000.0;microempresarial
8257;femenino;comercio;tienda;moravia;1.0;4.0;2016-06-21;1500000.0;microempresarial
8258;femenino;servicio;fabrica de;cabecera san antonio;3.0;;2016-12-02;6000000.0;microempresarial
8259;femenino;comercio;legumbreria;cabecera san cristobal;2.0;;2018-02-08;3000000.0;microempresarial
8260;femenino;comercio;tienda;barrio caicedo;1.0;9.0;2018-05-28;7000000.0;microempresarial
8261;femenino;comercio;comidas rapidas;manrique central no. 1;1.0;4.0;2018-07-13;1000000.0;microempresarial
8262;masculino;comercio;fabrica de productos;manrique central no. 1;2.0;4.0;2018-11-13;7800000.0;microempresarial
8263;femenino;comercio;comidas rapidas;popular;2.0;1.0;2018-07-16;7800000.0;microempresarial
8264;masculino;comercio;fabrica de;belen;3.0;16.0;2019-03-27;8200000.0;microempresarial
8265;femenino;comercio;publicidad y;robledo;3.0;7.0;2017-05-23;7377000.0;microempresarial
8266;masculino;servicio;cafe e internet;santo domingo savio;3.0;1.0;2017-09-27;7370000.0;microempresarial
8268;masculino;comercio;distribuidora de;moravia;2.0;4.0;2016-08-09;3500000.0;microempresarial
8269;femenino;servicio;variedades;san javier no.1;3.0;13.0;2018-02-06;4000000.0;microempresarial
8270;femenino;industria;fabrica de;robledo;2.0;7.0;2018-04-19;5000000.0;microempresarial
8271;masculino;servicio;variedades;doce de octubre no.1;2.0;6.0;2017-09-15;73000000.0;microempresarial
8272;femenino;comercio;variedades;doce de octubre no.1;2.0;6.0;2016-09-20;6890000.0;microempresarial
8273;masculino;industria;taller de mecanica;cabecera san antonio;2.0;;2016-10-13;6890000.0;microempresarial
